transaction_id,customer_id,product,category,price,quantity,transaction_date
929714d1-0efd-4417-8965-bfaf876521b1,a192e161-5631-4a46-98ff-7cdf6a13c546,Laptop,Electronics,1065.3,1,2025-01-02
77339a0e-ca5f-491c-8f58-6f8e751e70fb,1a7694ed-a715-4203-a0b2-9b32f51b5dd8,Coffee Maker,Home Appliances,313.19,4,2025-01-06
f95cc1d1-7c42-47cc-ba5a-dc84f25288aa,58816a40-d1d7-4225-96f1-df1c3079dea1,Blender,Home Appliances,1153.72,1,2025-01-04
afdecff4-527e-4785-a17a-8f7032bc7c1d,8bb65cd0-63a0-4f2c-986e-a9495e666ab3,Blender,Home Appliances,1282.64,3,2025-01-11
e864592c-a626-4503-95fe-48dfb1ed9be7,dfd9b3f7-c8d9-44ba-b3ea-e17347715514,Smartphone,Electronics,1093.46,4,2025-01-03
e5d1cbf9-0523-49d2-bc7e-a59e36e76d97,7d32b4c2-7027-4bb7-a894-45444bd35eee,Office Chair,Furniture,196.59,3,2025-01-08
2a2eca10-d675-4250-87ce-f9c52aac20df,f6760674-a6bb-437f-9c0d-78363b24687e,Office Chair,Furniture,527.18,4,2024-12-18
c8cd4998-d7fe-4095-973e-575ea8fd3adc,ebf3f797-ec0e-4f9f-abeb-5d30d93eea2f,Sneakers,Footwear,667.07,1,2024-12-30
d9b763ce-9a13-4045-bf7d-61ed089a78e4,6f1b2f81-4add-418c-a4a7-62ca99914e25,Laptop,Electronics,175.53,1,2025-01-06
2e51cbf5-6af0-479d-8d5e-29912e402c11,2249a309-0e0f-4fcd-9fac-3906fabcf070,Coffee Maker,Home Appliances,407.16,3,2024-12-19
b4dc2652-c3a0-4760-84e2-0b8706f673c1,147cacef-8d13-49d4-bf44-b3149099bb72,Office Chair,Furniture,89.09,5,2025-01-04
82b0a31a-3a13-4c63-9a0b-4c9c4b01582f,f3f269b8-42ed-4694-9e30-006dbc576a40,Smartphone,Electronics,209.1,3,2024-12-18
04165197-2bf6-491c-920e-31e64b0c9b02,23b245bc-24ac-420f-8d43-c3ba9bbcde84,Headphones,Electronics,364.75,4,2024-12-31
e1bfeddc-5938-49e3-baca-a1d7cc7dca39,296d53f0-9263-4c81-bc2f-5aef88cfed10,Sneakers,Footwear,938.52,2,2025-01-07
088bbcc4-6345-4e4d-a3b8-1c42aa467c1e,1895f7aa-7733-42d8-9bf7-da2e1d9b635e,Coffee Maker,Home Appliances,102.11,1,2024-12-28
d43b25a7-07f5-4376-8dae-44825cabbcae,969ec221-01d8-414e-a472-665356632a7c,Sneakers,Footwear,1027.08,1,2024-12-23
6136feb7-01f7-42cf-b242-014a25f62d4f,0a60b60b-4f49-4052-93bd-570cd1db8157,Laptop,Electronics,844.53,1,2025-01-05
b00611ab-5d29-49af-b7dd-7ee679fa79c4,a4d1f09c-c79c-43d8-a1fd-5efcb9363a5f,Blender,Home Appliances,375.85,3,2024-12-18
5bfe58ce-96b3-4eec-90e7-fa2aab940b88,06f36d17-f760-46b5-822f-711475d745fe,Blender,Home Appliances,967.73,4,2024-12-31
a4532a8a-bcfb-453b-82b2-256d4f93d46c,f28f7049-02c3-4e8c-8932-d9a03e905437,Office Chair,Furniture,960.31,3,2025-01-01
14223c56-d253-4d8c-8818-a34f9248876f,9fdca4d7-73a6-4f41-9607-611ce18440a2,Sneakers,Footwear,1095.39,3,2025-01-06
dad18793-cdae-437f-be46-3c6668197122,d660cedd-9914-47a6-b24c-3472e9cd1f08,Office Chair,Furniture,104.51,4,2025-01-08
